EmisCode;PROVINCE;Institution name;District;Alternative Institution name;Legal Status;Practical Status of the institution;Closure data;Sector;Institution Type;Institution Phase;LandOwnership;Ex-education Department;Circuit;Registration date;Street name and sumber;City/Town;Postal Code;SA POST OFFICE VILLAGE;P O BOX;Private bag;Post office;Postal Code;TelCode1;Telephone1;TelCode2;Telephone2;EMail;EmailAlt;LONGITUDE;LATITUDE;GIS SOURCE;GIS last updated date;District municipality;Local municipality;Urban or rural;PersalPayPoint;PersalComponent;ExamCentreNumber;ExamCentre;Manager title;Managers initials;Manager surname;Institution closure date;Institution closure reason;Demarcation form;Demarcation to;Previous EMIS number;Updated EMIS number;Functions;Quintile;No-fee school status;SNE specialisation;Specialisation
300010701;NC;BOITUMELO SPECIALSCHOOL;FRANCES BAARD;;Formally Opened;Operational;;Public;Special Needs Education;Primary;Govt;;F8;;John Daka;Kimberley;8345;PO BOX 9661;PO BOX;Mankurwane;Kimberley;8345;078;3955182;078;5965046;boitumeloss@ncdoe.school.za;boitumelospecial@gmail.com;-28.716032;24.702023;;;;;;226020;970285;2010701;BOITUMELO SPECIAL SCHOOL;;;;;;;;;;;;;;
300022301;NC;HOPETOWN GEKOMBINEERDE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Combined;Govt;;P2;;HOPETOWN;HOPETOWN;8750;PO BOX 110;PO BOX;HOPETOWN;HOPETOWN;8750;053;2030053;053;2030053;;admin@hshopetown.co.za;-29.623935;24.087122;;;;;;;0;2022301;Hopetown Combined School;;;;;;;;;;;;;;
300011211;NC;SALTLAKE PRIMERE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P5;;Saltlake;Saltlake Plaas;8731;PO BOX 2;PO BOX;Saltlake;Saltlake Plaas;8731;053;2850587;079;4891357;saltlakeprimary38@gmail.com;lizzymetse@gmail.com;-29.30213;24.00024;;;;;;225560;970271;;;;;;;;;;;;;;;;
300011210;NC;PLOOYSBURG INTERMEDIÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;P5;;POSBUS 20;PLOOYSBURG;8350;PO BOX 20;PO BOX;PLOOYSBURG;PLOOYSBURG;8350;053;5828009;083;5192153;steenboknthabiseng@gmail.com;bettylock72@gmail.com;-29.032498;24,236758;;;;;;74609;74609;;Goverment;;;;;;;;;;;;;;
300011302;NC;WESLAAN SEKONDÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P5;;Breipaal;Douglas;8730;PO BOX 450;PO BOX;Breipaal;Douglas;8730;053;2981423;062;5332685;weslaanhs@gmail.com;joseph.catherine64@gmail.com;-29.046666;23,757889;;;;;;225430;970256;2011302;Weslaan High School;;;;;;;;;;;;;;
300013204;NC;GRANGE PRIMARY;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P2;;WITPUT;HOPETOWN;8750;PO BOX 298;PO BOX;WITPUT;HOPETOWN;8750;072;4951696;062;2387453;primary.grange@gmail.com;101clinodene@gmail.com;-29.52741;24.26444;;;;;;225340;225340;300013204;Grange Primary School;;;;;;;;;;;;;;
300011202;NC;BUCKLANDS (NGK) PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Church;;P5;;Bucklands;Douglas;8730;PO BOX 276;PO BOX;Bucklands;Douglas;8730;082;8298144;079;6819754;bucklandsprimaryschool@gmail.com;bucklandsprimaryschool@gmail.com;-29.071202;23.688639;;;;;;225570;5817;;;;;;;;;;;;;;;;
300015202;NC;IKAGENG INTERMEDIÊRE  SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Farm;;P5;;Douglas;Douglas;8730;PO BOX 3259;PO BOX;Kimberley;Kimberley;8300;053;2440810;053;2440810;ikagengkr@gmail.com;aubreyverkoper@gmail.com;-29.007854;23.937190;;;;;;225360;225360;;;;;;;;;;;;;;;;
300011214;NC;VAAL-ORANJE PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P5;;Breipaal;Douglas;8730;PO BOX 119;PO BOX;BREIPAAL;DOUGLAS;8730;053;2981712;076;3985703;vaaloranjeprim@gmail.com;dalvaleneboer@gmail.com;-29.04277;23.76856;;;;;;225240;999999;E2018874;Vaal-Oranje PALC;;;;;;;;;;;;;;
300016201;NC;AALWYN INTERMEDIÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;P5;;Extention 1;Campbell;8360;PO BOX 09;PO BOX;Extention 1;Campbell;8360;053;0501078;079;8617139;sanoolyn471@gmail.com;aalwynkr@gmail.com;-28.79786;23.7265;;;;;;225230;300016;2018835;Aalwyn Intermediêre Skool;;;;;;;;;;;;;;
